transaction_id,nlp_tags_consolidated
13041,"apart, coming, coming apart, replace, replace steering, replace steering wheel, sop, states, steering, steering wheel, wheel"
13042,
13065,
13052,
13039,
13045,
13039,
13045,
13041,
13041,
13044,
13045,
13041,
